id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
double-slap,Double Slap,Normal,At-Will,4,2,1d6+3,7,Physical,"Melee, 1 Target, Five Strike",None,core,395,False
double-swipe,Double Swipe,Normal,EOT,2,4,1d8+6,11,Physical,"WR, 2 Targets; or WR, 1 Target, Double Strike",None Limitations: None,core,288,False
double-team,Double Team,Normal,Scene,,,,,Status,"Self, Illusion, Coat",The user gains 3 activations of Double Team. The user may either activate Double Team when being targeted by an attack to increase their Evasion by +2 against that attack; or when making an attack to increase their Accuracy by +2 for that attack.,core,395,False
double-edge,Double-Edge,Normal,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,core,395,False
draco-meteor,Draco Meteor,Dragon,Scene,4,13,4d10+10,35,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,core,354,False
dragon-ascent,Dragon Ascent,Flying,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash",The user's Defense and Special Defense are each lowered by -1 Combat Stage.,core,374,False
dragon-breath,Dragon Breath,Dragon,EOT,2,6,2d6+8,15,Special,"6, 1 Target",Dragon Breath Paralyzes the Target on 15+.,core,354,False
dragon-claw,Dragon Claw,Dragon,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target",None,core,354,False
dragon-dance,Dragon Dance,Dragon,EOT,,,,,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Speed 1 Combat Stage.,core,354,False
dragon-darts,Dragon Darts,Dragon,EOT,2,5,1d8+8,13,Physical,"6, 1 Target, Double Strike; or 6, 2 Targets",,new,6,False
dragon-hammer,Dragon Hammer,Dragon,EOT,2,9,2d10+10,21,Physical,"Melee, 1 Target or Line 3",,sumo,9,False
dragon-pulse,Dragon Pulse,Dragon,EOT,2,9,2d10+10,21,Special,"8, 1 Target, Aura",None,core,354,False
dragon-rage,Dragon Rage,Dragon,At-Will,2,,Special,,Special,"4, 1 Target","If it hits, Dragon Rage causes the target to lose 15 Hit Points. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.).",core,354,False
dragon-rush,Dragon Rush,Dragon,Scene x2,4,10,3d8+10,24,Physical,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 3 meters. Dragon Rush Flinches the target on 17+.,core,354,False
dragon-tail,Dragon Tail,Dragon,At-Will,3,6,2d6+8,15,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On a roll of 15+, the target is also Tripped.",core,354,False
drain-punch,Drain Punch,Fighting,Scene x2,2,8,2d8+10,19,Physical,"Melee, 1 Target, Aura","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",core,364,False
draining-kiss,Draining Kiss,Fairy,EOT,2,5,1d8+8,13,Special,"Melee, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",core,360,False
dream-eater,Dream Eater,Psychic,EOT,2,10,3d8+10,24,Special,"Melee, 1 Target","Dream Eater can only target Sleeping Pokémon or Trainers. After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. Dream Eater does not wake up sleeping targets.",core,419,False
drill-peck,Drill Peck,Flying,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",None,core,374,False
drill-run,Drill Run,Ground,At-Will,3,8,2d8+10,19,Physical,"Melee, 1 Target",Drill Run is a Critical Hit on 18+.,core,385,False
drum-beating,Drum Beating,Grass,EOT,2,8,2d8+10,19,Physical,"4, 1 Target",The target's Speed is lowered by 1 CS.,new,11,False
dual-chop,Dual Chop,Dragon,EOT,3,5,1d8+8,13,Physical,"Melee, 1 Target, Double Strike",None,core,355,False
dynamax-cannon,Dynamax Cannon,Dragon,Scene x2,2,10,3d8+10,24,Special,"6, 1 Target","The DB of Dynamax Cannon increases by +2 for each positive CS the target has, to a maximum of DB 20.",new,6,False
dynamic-punch,Dynamic Punch,Fighting,At-Will,9,10,3d8+10,24,Physical,"Melee, 1 Target",Dynamic Punch Confuses the target. Dynamic Punch ignores the target's Evasion if they are Flanked.,core,364,False
earth-power,Earth Power,Ground,EOT,2,9,2d10+10,21,Special,"6, 1 Target, Groundsource",Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16+.,core,385,False
earthquake,Earthquake,Ground,Scene,2,10,3d8+10,24,Physical,"Burst 3, Groundsource","Earthquake can hit targets that are underground, including those using the Move Dig.",core,386,False
echoed-voice,Echoed Voice,Normal,EOT,2,4,1d8+6,11,Special,"3, 1 Target, Sonic","If Echoed Voice was used by any Pokémon or Trainer in the Encounter on the previous round, increase its Damage Base by +4. If Echoed Voice was used by any Pokémon or Trainers during both the previous two rounds, increase its Damage Base by +8.",core,395,False
eerie-impulse,Eerie Impulse,Electric,EOT,2,,,,Status,"6, 1 Target",The target's Special Attack is lowered 2 Combat Stages.,core,356,False
egg-bomb,Egg Bomb,Normal,Scene x2,6,10,3d8+10,24,Physical,"5, Blast 2",None.,core,395,False
electric-terrain,Electric Terrain,Electric,Daily x2,,,,,Status,Field,"The field becomes Electrified for 5 rounds. While Electrified, Pokémon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokémon and Trainers touching the ground gain a +10 Bonus to Damage Rolls.",core,356,False
electrify,Electrify,Electric,EOT,,,,,Status,"6, 1 Target","Until the end of the user's next turn, the target's damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type.",core,356,False
electro-ball,Electro Ball,Electric,Scene x2,2,6,2d8+6,15,Special,"10, 1 Target","The user adds their Speed Stat, including Combat Stages, in addition to their Special Attack when determining the damage dealt by Electro Ball. The Defender in turn subtracts both their Special Defense and Speed Stats from the damage dealt before applying Type Effectiveness.",core,357,False
electroweb,Electroweb,Electric,EOT,3,6,2d6+8,15,Special,"4, Ranged Blast 2",All Legal Targets are lowered 1 Speed Combat Stage.,core,357,False
embargo,Embargo,Dark,At-Will,2,,,,Status,"6, 1 Target","The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect.",core,350,False
ember,Ember,Fire,At-Will,2,4,1d8+6,11,Special,"4, 1 Target",Ember Burns the target on 18+.,core,369,False
encore,Encore,Normal,Scene x2,2,,,,Status,"4, 1 Target, Social","Roll 1d6. On a result of 1 or 2, the target becomes Confused; on a result of 3 or 4 the target becomes Suppressed; on a result of 5 or 6 the target becomes Enraged.",core,395,False
endeavor,Endeavor,Normal,Scene,2,,See Effect,,Physical,"Melee, 1 Target, Dash",The target loses a Tick of Hit Points for each Injury the user has.,core,395,False
endure,Endure,Normal,Daily,,,,,Status,"Self, Reaction, Trigger","If the user is hit by a damaging Move, you may use Endure as a Free Action. If the Move would bring Endure's user down to 0 Hit Points or less, Endure's user instead is set to 1 Hit Point.",core,396,False
energy-ball,Energy Ball,Grass,EOT,2,9,2d10+10,21,Special,"8, 1 Target",Energy Ball lowers the foe's Special Defense 1 Combat Stage on 17+.,core,380,False
energy-blast,Energy Blast,Normal,EOT,3,4,1d8+6,11,Special,"WR, Blast 2",You gain +1 Special Attack on 19+.,got,44,False
energy-sphere,Energy Sphere,Normal,EOT,3,4,1d8+6,11,Special,Burst 1,You gain +1 Special Defense Combat Stage on 19+.,got,44,False
energy-vortex,Energy Vortex,Normal,Scene x2,4,2,1d6+3,7,Special,"WR, 1 Target",The target is put in a Vortex.,got,45,False
enervation,Enervation,Normal,Scene x2,4,9,2d10+10,21,Special,"WR, 2 Targets","If Enervation hits, all legal targets become Vulnerable for 1 full round. Enervation Suppresses all legal targets on 15+.",edit,55,False
entrainment,Entrainment,Normal,Scene,2,,,,Status,"4, 1 Target",The target gains one of the user's Abilities for 3 turns.,core,396,False
eruption,Eruption,Fire,Daily,4,15,4d10+20,45,Special,Burst 1*,"For each 10% of Hit Points the user is missing, Eruption's Damage Base is reduced by 1. Eruption creates a 1 meter burst, but also affects an area 10 meters tall straight up.",core,369,False
eternabeam,Eternabeam,Dragon,Scene,4,16,5d10+20,50,Special,"Line 6, Smite, Exhaust",,new,6,False
explosion,Explosion,Normal,Daily,2,25,6d12+60,100,Physical,Burst 2,The user's Hit Points are set to -50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way. The user's loyalty toward its trainer may be lowered.,core,396,False
extrasensory,Extrasensory,Psychic,EOT,2,8,2d8+10,19,Special,"5, 1 Target",Extrasensory Flinches the target on 19+.,core,419,False
extreme-speed,Extreme Speed,Normal,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target, Dash, Priority",None,core,396,False
fairy-lock,Fairy Lock,Fairy,Scene,,,,,Status,"Burst 3, Friendly",All legal targets become Trapped and Slowed while the user remains in the encounter. This effect ends if the user switches or is Fainted.,core,360,False
fairy-wind,Fairy Wind,Fairy,At-Will,2,4,1d8+6,11,Special,"6, 1 Target",None,core,361,False
fake-out,Fake Out,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority","You may only use Fake Out with Priority upon joining an encounter; if you do, Fake Out Flinches the target. Switching out resets the requirement of joining an encounter.",core,396,False
fake-tears,Fake Tears,Dark,EOT,2,,,,Status,"8, 1 Target, Social",Lower the target's Special Defense 2 Combat Stages.,core,351,False
false-surrender,False Surrender,Dark,EOT,,8,2d6+8,19,Physical,"Melee, 1 Target",False Surrender cannot miss.,new,5,False
false-swipe,False Swipe,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, Pass",False Swipe's damage cannot bring a target lower than 1 Hit Point.,core,396,False
facade,Façade,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target","If the user is afflicted with a Persistent Status Affliction, Façade's Damage Base is doubled to DB 14 (4d10+15 / 40).",core,396,False
feather-dance,Feather Dance,Flying,EOT,2,,,,Status,"Burst 1, Friendly",All legal targets have their Attack lowered 2 Combat Stages.,core,374,False
feint,Feint,Normal,Scene,,,,,Status,Trigger,"If a foe uses a Move with the Shield Keyword in response to one of your actions, you may activate Feint to cause the triggering Move to Fail. Feint is activated as a Free Action.",core,396,False
feint-attack,Feint Attack,Dark,EOT,,6,2d6+8,15,Physical,"Melee, 1 Target",Feint Attack cannot miss.,core,351,False
fell-stinger,Fell Stinger,Bug,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target","If the user successfully knocks out a target with Fell Stinger, raise their Attack by 2 Combat Stages.",sumo,7,False
fiery-dance,Fiery Dance,Fire,EOT,2,8,2d8+10,19,Special,"4, 1 Target","If Fiery Dance successfully hits a foe, it raises the user's Special Attack by 1 Combat Stage on Even- Numbered Rolls.",core,369,False
final-gambit,Final Gambit,Fighting,Scene,2,,,,Special,"Melee, 1 Target",Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit then deals 1 point of damage to the target for every Hit Point lost by the user. Final Gambit does not cause items to activate.,core,364,False
fire-blast,Fire Blast,Fire,Scene x2,4,11,3d10+10,27,Special,"6, 1 Target, Smite",Fire Blast burns the target on 19+.,core,369,False
fire-fang,Fire Fang,Fire,At-Will,3,7,2d6+10,17,Physical,"Melee, 1 Target","Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches.",core,370,False
fire-lash,Fire Lash,Fire,EOT,2,8,2d8+10,19,Physical,"2, 1 Target",The target's Defense is lowered by 1 Combat Stage.,sumo,13,False
fire-pledge,Fire Pledge,Fire,Scene,2,8,2d8+10,19,Special,"6, 1 Target, Pledge","If an ally uses Grass Pledge or Water Pledge, you may use Fire Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Grass Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, a Rainbow is created that lasts for 5 rounds. Consult the Pledge keyword for additional details.",core,370,False
fire-punch,Fire Punch,Fire,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target",Fire Punch Burns the target on 19+ during Accuracy Check.,core,370,False
fire-spin,Fire Spin,Fire,Scene x2,4,4,1d8+6,11,Special,"3, 1 Target",The target is put in a Vortex.,core,370,False
first-impression,First Impression,Bug,At-Will,2,9,2d10+10,21,Physical,"Melee, 1 Target, Priority","You may only use First Impression with Priority upon joining an encounter; if you do, First Impression Flinches the target. Switching out resets the requirement of joining an encounter.",sumo,7,False
fishious-rend,Fishious Rend,Water,Scene x2,2,9,2d10+10,21,Physical,"Melee, 1 Target","Against targets with a lower initiative that have not yet acted this round, Fishious Rend deals +10 damage.",new,16,False
fissure,Fissure,Ground,Daily,,,,,Status,"5, 1 Target, Execute, Groundsource","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",core,386,False
flail,Flail,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target","For each Injury the user has, Flail's Damage Base is increased by +1.",core,397,False
flame-burst,Flame Burst,Fire,At-Will,2,7,2d6+10,17,Special,"6, 1 Target",Any Trainers or Pokémon cardinally adjacent to the target lose 5 Hit Points.,core,370,False
flame-charge,Flame Charge,Fire,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target, Dash",Raise the user's Speed 1 Combat Stage.,core,370,False
flame-wheel,Flame Wheel,Fire,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target, Dash",Flame Wheel Burns the target on 19+.,core,370,False
flamethrower,Flamethrower,Fire,EOT,2,9,2d10+10,21,Special,"4, 1 Target",Flamethrower Burns the target on 19+.,core,371,False
flare-blitz,Flare Blitz,Fire,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash, Recoil 1/3",Flare Blitz Burns the target on 19+.,core,371,False
flash,Flash,Normal,EOT,2,,,,Status,Cone 2,The Accuracy of all Legal Targets is lowered by -1.,core,397,False
flash-cannon,Flash Cannon,Steel,EOT,2,8,2d8+10,19,Special,"6, 1 Target",Flash Cannon lowers the target's Special Defense by 1 Combat Stage on 17+.,core,429,False
flatter,Flatter,Dark,At-Will,2,,,,Status,"6, 1 Target, Social",The target's Special Attack is raised by +1 Combat Stage. Flatter Confuses the target.,core,351,False
fleur-cannon,Fleur Cannon,Fairy,Scene,4,13,4d10+10,35,Special,"Line 9, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,sumo,11,False
fling,Fling,Dark,Scene x2,,,,,Physical,"6, 1 Target, Fling","The user throws a held item, determining the effect of Fling.",core,351,False
floral-healing,Floral Healing,Fairy,Daily x2,,,,,Status,"Melee, 1 Target, Healing","The target regains Hit Points equal to half of its full Hit Point value. If the field is Grassy Terrain, the target gains 2/3 of its full Hit Point value instead.",sumo,11,False
flower-shield,Flower Shield,Fairy,Scene,,,,,Status,Burst 2,All Grass Type Pokémon in Flower Shield's area of effect have their Defense raised by +2 Combat Stages.,core,361,False
fly,Fly,Flying,At-Will,3,8,2d8+10,19,Physical,"Melee, Dash, Set-Up","The user is moved up 25 meters into the air. The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Fly.",core,374,False
flying-press,Flying Press,Fighting,EOT,3,10,3d8+10,24,Physical,"Melee, 1 Target, Dash","Flying Press may deal Flying Type damage if the user wishes. Note: If Flying Press is Move Sync'd, it only changes the Fighting Type portion of the Move. You can still only choose between that Type and Flying Type; you cannot shift Flying Press to change the Flying part to another Type.",sumo,12,False
focus-blast,Focus Blast,Fighting,Scene x2,7,12,3d12+10,30,Special,"6, 1 Target, Smite, Aura",Focus Blast lowers the target's Special Defense 1 Combat Stage on 18+.,core,365,False
focus-energy,Focus Energy,Normal,At-Will,,,,,Status,Self,"The user becomes Pumped. While Pumped, the user's Critical Range is extended by 2, or 18+ if the Critical Range is not otherwise extended. Being switched will cause this effect to end.",core,397,False
focus-punch,Focus Punch,Fighting,Scene x2,2,15,4d10+20,45,Physical,"Melee, 1 Target, Priority (Limited), Aura","Use of Focus Punch must be declared as a Priority (Limited) action at the beginning of the round. Nothing happens at this time. At the end of the round, if the target hasn't been hit by an attack dealing damage equal to at least 25% of the user's Maximum Hit Points, the user may Shift and use Focus Punch. Focus Punch's Frequency is not expended if it is negated by an attack.",core,365,False
follow-me,Follow Me,Normal,Scene,,,,,Status,"Burst 5, Social","Until the end of the user's next turn, all Foes must target the user when using a Move that targets their opponents. This effect ends if the user is Fainted or Switched out.",core,397,False
force-palm,Force Palm,Fighting,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target, Aura",Force Palm Paralyzes the target on 18+.,core,365,False
foresight,Foresight,Normal,Scene x2,,,,,Status,"Self, Swift Action","Foresight may be activated as a Swift Action on the user's turn. For the rest of the turn, the user's Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",core,397,False
forests-curse,Forest's Curse,Grass,Daily,2,,,,Status,"6, 1 Target",The target gains the Grass Type in addition to its other Types for 5 turns.,core,380,False
foul-play,Foul Play,Dark,Scene x2,2,10,3d8+10,24,Physical,"Melee, 1 Target","The target reveals its Attack stat. When calculating damage, add the target's Attack stat instead of the user's Attack stat.",core,351,False
freeze-shock,Freeze Shock,Ice,Scene,4,14,4d10+15,40,Physical,"10, Single Target, Set-Up, Full Action","The user may shift, then ends their turn. The user uses Freeze Shock. Freeze Shock paralyzes on 15+.",core,388,False
freeze-dry,Freeze-Dry,Ice,EOT,2,7,2d6+10,17,Special,"6, 1 Target.","When calculating Weakness and Resistance for Freeze-Dry, Water-Typed targets calculate damage as if Water was weak to Ice.",core,388,False
frenzy-plant,Frenzy Plant,Grass,Daily x2,4,15,4d10+20,45,Special,"3, 5 Targets, Smite, Exhaust",None,core,380,False
frost-breath,Frost Breath,Ice,EOT,3,6,2d6+8,15,Special,"4, 1 Target","If Frost Breath hits, it is a Critical Hit.",core,388,False
frustration,Frustration,Normal,At-Will,,,,,Physical,"Melee, 1 Target",Frustration's Damage Base is equal to 9 minus the user's Loyalty Value. Using Frustration may make your Pokémon dislike you.,core,397,False
furious-strikes,Furious Strikes,Normal,Scene x2,2,3,1d6+5,9,Physical,"WR, 1 Target, Five Strike","For each hit rolled on your Five Strike roll, the target of the attack has their Evasion reduced by 1 for one full round.",core,290,False
fury-attack,Fury Attack,Normal,At-Will,4,2,1d6+3,7,Physical,"Melee, 1 Target, Five Strike",None,core,397,False
fury-cutter,Fury Cutter,Bug,At-Will,3,4,1d8+6,11,Physical,"Melee, 1 Target","If Fury Cutter is used successfully and consecutively on the same target, the Damage Base is increased by +4 to a maximum of 16. For example, the first hit would have a DB of 4; the second hit a DB of 8; the third hit a DB of 12; the fourth and further hits a DB of 16. If Fury Cuter misses or fails to damage its target, its Damage Base resets.",core,346,False
fury-swipes,Fury Swipes,Normal,EOT,5,3,1d6+5,9,Physical,"Melee, 1 Target, Five Strike",None,core,397,False
fusion-bolt,Fusion Bolt,Electric,Scene x2,2,10,3d8+10,24,Physical,"8, 1 Target, Smite","If Fusion Flare was used this round or last round by any participant of the encounter, Fusion Bolt has its Damage Base increased by +3.",core,357,False
fusion-flare,Fusion Flare,Fire,Scene x2,2,10,3d8+10,24,Special,"8, 1 Target, Smite","If Fusion Bolt was used this round or last round by any participant of the encounter, Fusion Flare has its Damage Base increased by +3.",core,371,False
future-sight,Future Sight,Psychic,Scene x2,,12,3d12+10,30,Special,"10, 1 Target","Future Sight does nothing on the turn it is used. At the end of the user's next turn, Future Sight hits, even if the user is no longer on the field. Future Sight cannot miss.",core,419,False
gastro-acid,Gastro Acid,Poison,Scene,2,,,,Status,"4, 1 Target","The target's Ability is disabled until the end of the encounter. If the target has more than one Ability, you choose one of them to disable.",core,415,False
gear-grind,Gear Grind,Steel,EOT,3,5,1d8+8,13,Physical,"Melee, 1 Target, Double Strike",None,core,429,False
gear-up,Gear Up,Steel,Scene x2,,,,,Status,Burst 4,All targets that are Steel-Typed receive +1 Attack and Special Attack Combat Stages,new,15,False
geomancy,Geomancy,Fairy,Scene,,,,,Status,"Self, Set-Up","The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material. The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages each.",core,361,False
giga-drain,Giga Drain,Grass,Scene x2,2,8,2d8+10,19,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",core,381,False
giga-impact,Giga Impact,Normal,Daily x2,4,15,4d10+20,45,Physical,"Melee, 1 Target, Dash, Exhaust, Smite",None,core,398,False
glaciate,Glaciate,Ice,EOT,3,7,2d6+10,17,Special,Burst 2,"All Legal Targets have their Speed lowered 1 Combat Stage. On an Even-Numbered Roll, all Legal Targets on the ground are Slowed.",core,389,False
glare,Glare,Normal,Scene x2,2,,,,Status,"4, 1 Target, Social",Glare Paralyzes the target.,core,398,False
glitterdust,Glitterdust,Normal,Scene x2,2,10,3d8+10,24,Special,Cone 2,Glitterdust Blinds all legal targets for 1 full round on 15+. All foes within 3 meters become Suppressed. Ability: Life Force Daily x3 - Swift Action The user gains two Ticks of Hit Points. Ability: Absorb Force Scene - Free Action The user takes damage as if the attack was resisted one step further.,edit,56,False
gouge,Gouge,Normal,Scene x2,2,5,1d8+8,13,Physical,"WR, 1 Target, Double Strike","If both hits of Gouge successfully hit the target, the target gains an Injury.",core,290,False
grass-knot,Grass Knot,Grass,EOT,2,,See Effect,,Special,"5, 1 Target, Weight Class",Grass Knot's Damage Base is equal to twice the target's Weight Class.,core,381,False
grass-pledge,Grass Pledge,Grass,Scene,2,8,2d8+10,19,Special,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Water Pledge, you may use Grass Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",core,381,False
grass-whistle,Grass Whistle,Grass,Scene x2,6,,,,Status,"6, 1 Target, Sonic",The target falls Asleep.,core,381,False
grassy-terrain,Grassy Terrain,Grass,Daily x2,,,,,Status,Field,"The area becomes Grassy for 5 rounds. While Grassy, all Pokémon and Trainers standing on the ground recover a Tick of Hit Points at the start of every turn, and Grass-Type attacks performed by grounded Pokémon and Trainers gain a +10 bonus to Damage Rolls.",core,381,False
grav-apple,Grav Apple,Grass,EOT,2,8,2d8+10,19,Physical,"6, 1 Target",The target's Defense is lowered by 1 CS.,new,11,False
gravity,Gravity,Psychic,Daily x2,,,,,Status,Field,"For 5 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Pokémon cannot use Sky or Levitate Capabilities to end their turn at an altitude higher than 1 meter. Flying-Types and Pokémon with the Ability Levitate are no longer immune to Ground- Type Moves. All Accuracy Rolls receive a +2 Bonus.",core,419,False
growl,Growl,Normal,At-Will,2,,,,Status,"Burst 1, Friendly, Sonic, Social",Growl lowers all Legal Targets Attack 1 Combat Stage.,core,398,False
growth,Growth,Normal,EOT,,,,,Status,Self,"Raise the user's Attack 1 Combat Stage and raise the user's Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained.",core,398,False
grudge,Grudge,Ghost,Daily,,,,,Status,"6, 1 Target, Interrupt","You may use Grudge as an Interrupt when a Damaging Attack causes the user to faint. Grudge is activated as a Free Action (does not take up a Command). The attack is resolved as usual, and the user Faints. The attacker that caused the user to Faint becomes Suppressed for the remainder of the encounter; switching and Taking a Breather does not end Suppression when used this way.",core,377,False
guard-split,Guard Split,Psychic,Scene,,,,,Status,"Melee, 1 Target","The target loses 5 Defense and 5 Special Defense. If they do, the user gains 5 Damage Reduction. These effects last until the end of the scene.",core,419,False
guard-swap,Guard Swap,Psychic,Scene,,,,,Status,"Melee, 1 Target","The user and the target trade Combat Stage values for the Defense Stat, and then for the Special Defense Stat.",core,419,False
guillotine,Guillotine,Normal,Daily,,,,,Status,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",core,398,False
gunk-shot,Gunk Shot,Poison,Daily x2,5,12,3d12+10,30,Physical,"6, 1 Target, Smite",Gunk Shot Poisons the Target on 15+.,core,415,False
gust,Gust,Flying,At-Will,2,4,1d8+6,11,Special,"4, 1 Target","If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range and has a Damage Base of 8 instead.",core,374,False
gyro-ball,Gyro Ball,Steel,Scene x2,2,6,2d6+8,15,Physical,"6, 1 Target","The target reveals their Speed Stat (including Combat Stages). If it is higher than the user's (again, including Combat Stages), subtract the user's Speed Stat from the target's, and apply the difference as Bonus Damage.",core,429,False
hail,Hail,Ice,Daily x2,,,,,Status,"Field, Weather","The weather changes to Hail for 5 rounds. While it is Hailing, all non-Ice Type Pokémon lose a Tick of Hit Points at the beginning of their turn.",core,389,False
hammer-arm,Hammer Arm,Fighting,EOT,3,10,3d8+10,24,Physical,"Melee, 1 Target",The user lowers their Speed 1 Combat Stage.,core,365,False
harden,Harden,Normal,At-Will,,,,,Status,Self,Raise the user's Defense 1 Combat Stage.,core,398,False
haze,Haze,Ice,Scene x2,,,,,Status,Field,The Combat Stages of the user and all Pokémon and Trainers in the encounter are set to their default state (usually 0).,core,389,False
head-charge,Head Charge,Normal,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Push, Recoil 1/3",The target is Pushed back 2 meters.,core,398,False
head-smash,Head Smash,Rock,Scene,5,15,4d10+20,45,Physical,"Melee, 1 Target, Dash, Push, Recoil 1/3",The target is pushed 2 meters.,core,426,False
headbutt,Headbutt,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target",Headbutt Flinches the target on 15+.,core,398,False
heal-bell,Heal Bell,Normal,Scene,,,,,Status,"Burst 3, Sonic",All targets are cured of any Persistent Status ailments.,core,399,False
heal-block,Heal Block,Psychic,EOT,2,,,,Status,"6, 1 Target","Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather.",core,420,False
heal-order,Heal Order,Bug,Daily x2,,,,,Status,Self,The user regains Hit Points equal to half of its full Hit Point value.,core,346,False
heal-pulse,Heal Pulse,Psychic,Daily x2,,,,,Status,"6, 1 Target, Aura",Restores 50% of the target's max Hit Points. Heal Pulse's user may not target itself with Heal Pulse.,core,420,False
healing-wish,Healing Wish,Psychic,Daily,,,,,Status,"6, 1 Target","The user immediately Faints, lowering its HP to 0. The user takes no Injuries from HP Markers when using Healing Wish. The target is immediately cured of up to 3 injuries, healed to their Maximum Hit Points, and has the Frequency of all Moves restored. Healing Wish may target a Pokémon in a Poké Ball. Healing Wish does not restore the Frequency of Healing Wish or Lunar Dance. Injuries healed through Healing Wish count toward the total number of Injuries that can be healed each day, and this healing is limited by the same.",core,420,False
heart-stamp,Heart Stamp,Psychic,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target",Heart Stamp Flinches the target on 15+.,core,420,False
heart-swap,Heart Swap,Psychic,Daily,,,,,Status,"10, 2 Targets",The targets trade Combat Stage values for each Stat.,core,420,False
heat-crash,Heat Crash,Fire,EOT,2,4,1d8+6,11,Physical,"Melee, 1 Target, Dash","For each weight class the user is above the target, increase Heat Crash's Damage Base by +2.",core,371,False
heat-wave,Heat Wave,Fire,Scene x2,4,10,3d8+10,24,Special,"Close Blast 3, Smite",Heat Wave Burns all Legal Targets on 18+.,core,371,False
heavy-slam,Heavy Slam,Steel,EOT,2,4,1d8+6,11,Physical,"Melee, 1 Target","For each weight class the user is above the target, increase Heavy Slam's damage base by +2.",core,429,False
