id,name,frequency_action_text,trigger_text,target_text,effect_text,source_id,source_page,needs_review
gulp-missile,Gulp Missile,Scene x2 - Free Action,"The user uses Stockpile, Surf, or Dive",,"Connection - Stockpile. The next time the user is damaged, it rolls an AC 4 Physical Attack against the attacker, even if the user Faints. On a hit, the target loses 2 ticks of HP. In addition, if the hit roll was successful, on an even roll the target is Paralyzed; on an odd roll, the target instead loses 1 Defense CS.",new,1,False
guts,Guts,Static,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user's Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",core,319,False
handyman,Handyman,Static,,,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user's Held Items, you may choose which one is affected.",sumo,3,False
harvest,Harvest,At-Will - Free Action,,,"Whenever the user trades in a Digestion Buff from a Berry, flip a coin. On heads, the user gains all the benefits of the Digestion Buff, but the Buff is not used up. On tails, the Buff is consumed normally. While in Sunny Weather, the Buff is never consumed. The user may trade in a Digestion Buff up to once per turn during an encounter, but only until they flip ""Tails"".",core,319,False
haunt,Haunt,Static,,,The user gains Last Chance with Ghost.,core,319,False
hay-fever,Hay Fever,At-Will - Swift Action,The user uses a Status Move; or the user ends their turn while Asleep.,,"The user creates a Burst 2 or Close Blast 3 of allergenic pollen. All Trainers and Pokémon in the burst that are not Bug, Grass, or Poison Typed lose a Tick of Hit Points. This Ability cannot be activated in Rainy Weather, Sandstorms, or if it is Hailing.",core,319,False
healer,Healer,Scene - Free Action,,An Adjacent Pokémon or Trainer,The target is cured of all Status conditions.,core,319,False
heat-mirage,Heat Mirage,At-Will - Free Action,The user uses a Fire-Type Move,,The user's Evasion is increased by +3 until the beginning of their next turn.,core,320,False
heatproof,Heatproof,Static,,,"The user resists Fire Type movesf one step further, and does not lose Hit Points from the Burn Condition.",feb2016,5,False
heavy-metal,Heavy Metal,Static,,,"The user's Weight Class is increased by +2. Their Defense Base Stat is increased by +2, but their Speed Base Stat is decreased by 2.",feb2016,5,False
heliovolt,Heliovolt,At-Will - Swift Action,The user uses an Electric-Type Move,,"For 1 full round, the user gains +1 Evasion and is considered to be in Sunny Weather.",feb2016,12,False
helper,Helper,Static,,,"Connection - Helping Hand. Whenever the user uses a Move that targets a single ally, that ally gains a +1 Bonus to Accuracy, Evasion, and Skill Checks until the end of the user's next turn.",edit,,True
honey-paws,Honey Paws,Static,,,The user may consume Honey to gain a Food Buff as if they had consumed Leftovers. This Food Buff does not count against their normal limit.,feb2016,5,False
honey-thief,Honey Thief,Static,,,"Connection - Bug Bite. If the user uses Bug Bite to steal the effects of a Digestion Buff, they gain a Tick of Temporary Hit Points.",core,320,False
horde-break,Horde Break,At-Will - Free Action,The user changes from School Form to Solo Form,,The user is cured of all Status Conditions.,sumo,3,False
huge-power,Huge Power,Static,,,"The Pokémon's Base Attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Trainer Features.",core,320,False
huge-power-pure-power,Huge Power / Pure Power,Static,,,"The user's Base Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way.",feb2016,5,False
hunger-switch,Hunger Switch,Static,,,"At the beginning of each of the user's turns, the user must choose whether it's in Full Belly Mode or Hangry Mode until the beginning of its next turn. In Full Belly Mode, it gains a +2 bonus to Accuracy. In Hangry Mode, it gains a +5 Bonus to Damage Rolls.",new,1,False
hustle,Hustle,Static,,,The user receives a -2 penalty to all Accuracy Rolls and gains a +10 Bonus to All Damage Rolls.,feb2016,5,False
hydration,Hydration,Scene - Swift Action,,,The user is cured of one Status Affliction. Hydration's Frequency is ignored if used during Rainy Weather.,feb2016,6,False
hyper-cutter,Hyper Cutter,Static,,,"The user's Attack Stat may not be lowered, and its Attack Combat Stages may not be lowered. Defensive.",core,320,False
hypnotic,Hypnotic,Static,,,"Connection - Hypnosis. When used by the user, Hypnosis cannot miss.",core,320,False
ice-body,Ice Body,Daily x5 - Swift Action,,,The user gains a Tick of Hit Points. Ice Body may only be used while the user is under 50% Hit Points or in Hailing Weather.,feb2016,6,False
ice-face,Ice Face,Static,,,"The user begins the battle with two ticks of temporary hit points. As a Standard Action in Hail, they may gain two ticks of temporary hit points. The user is immune to damage from Hail. While the user has Temporary Hit Points from this Feature, it is in Ice Face form, otherwise it is in Noice Face form.",new,1,False
ice-scales,Ice Scales,Static,,,The user resists Special Moves one step further. Defensive.,new,1,False
ice-shield,Ice Shield,"Scene - Standard Action, Interrupt",,,"The user places up to 3 segments of Ice Wall; each segment must be continuous with another segment, and at least one must be adjacent to the user. These Ice Walls count as Blocking Terrain and last until the end of the encounter or until they are destroyed. Each Ice Wall segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 10 Hit Points, 5 Damage Reduction, and takes damage as if it was Ice- Type.",core,320,False
ignition-boost,Ignition Boost,At-Will - Free Action,An adjacent Ally uses a damaging Fire-Type Move,,The allied target gains a +5 Bonus to its damage roll with the triggering Move. A target may not benefit from more than one instance of Ignition Boost at a time.,core,320,False
illuminate,Illuminate,Static,,,Attacks that target the user have a -2 Accuracy Penalty against the user. Does not affect attackers with the Blindsense Capability. Defensive.,core,320,False
illusion,Illusion,Special,,,"As a Standard Action, the user may mark an object, Pokémon, or Trainer. The user may have a number of targets marked equal to their Focus Rank; to mark a new target, an old mark must be forfeited. Once per round as a Free Action, the user may use illusory powers to make itself look exactly like a marked target. This may be done as the user is being released from a Poké Ball. This change is aesthetic and does not affect typing or Moves. The illusion allows the user to vaguely mimic sounds made by its marked target, but it is not capable of intelligible speech. Whenever the user is hit by a damaging Move, the Illusion is destroyed. The user may also dismiss the Illusion as a Free Action.",core,321,False
immunity,Immunity,Static,,,The user cannot be Poisoned or Badly Poisoned. Defensive.,core,321,False
imposter,Imposter,Static,,,"If the user is not Transformed, they may use Transform as a Free-Action Interrupt.",feb2016,6,False
infiltrator,Infiltrator,Static,,,"The user gains a +2 Bonus to Stealth Checks, does not trigger Hazards, Blessings cannot be activated in response to its actions, and the user may bypass the effects of the move Substitute.",core,321,False
innards-out,Innards Out,Scene x2 - Free Action,The user is hit by a Damaging Attack,,"The user resists the triggering attack one step further. After the attack is resolved, a foe within 2 meters loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack, even if the triggering attack caused the user to Faint.",sumo,3,False
inner-focus,Inner Focus,Static,,,"The user cannot be Flinched, and their Initiative cannot be unwillingly lowered by any effects.",feb2016,6,False
insomnia,Insomnia,Static,,,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive.",core,321,False
instinct,Instinct,Static,,,The user's default Evasion is increased by +2. Defensive.,core,321,False
interference,Interference,Scene - Swift Action,,,The accuracy of all foes within 3 meters is reduced by -2 for 1 full round.,feb2016,6,False
intimidate,Intimidate,At-Will - Swift Action,,Pokémon or Trainer within 5 meters,Lower the target's Attack 1 Combat Stage. You may target a specific foe only once per Scene with Intimidate.,feb2016,6,False
intrepid-sword,Intrepid Sword,Static,,,The user's default Attack Combat Stages are increased by +1.,new,2,False
iron-barbs,Iron Barbs,"At-Will - Free Action, Reaction",The user is hit by a damaging Melee Attack,,The attacker loses Hit Points equal to Tick of Hit Points.,core,321,False
iron-fist,Iron Fist,Static,,,"The user increases the Damage Base of the following Moves by +2; Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Meteor Mash, Shadow Punch, Ice Punch, Mach Punch, Mega Punch, Sky Uppercut, Thunder Punch, Focus Punch, Hammer Arm, and Power-Up Punch.",core,321,False
juicy-energy,Juicy Energy,Daily - Free Action,The user trades in a Berry Juice Food Buff,,"Instead of gaining 30 Hit Points, the user gains Hit Points equal to their Level",feb2016,12,False
justified,Justified,At-Will - Free Action,The user is hit by a damaging Dark Type Move or Attack of Opportunity,,The user may raise its Attack by +1 Combat Stage.,feb2016,6,False
kampfgeist,Kampfgeist,Scene - Free Action,"The user takes Bug, Dark, or Rock-Type Damage",,The triggering damage is resisted one step further.,feb2016,6,False
keen-eye,Keen Eye,Static,,,"The user's Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (such as from Illuminate), the user is immune to the Blind condition (but not Total Blindness), and the user ignores any Evasion not directly derived from Stats (such as from the Instinct Ability, or from moves like Minimize).",core,321,False
klutz,Klutz,Scene - Free Action,The user hits with a Melee Attack,,Choose one of the target's Held Items or Accessory Slot Items. It is knocked to the ground.,new,4,False
lancer,Lancer,Static,,,"During their turn, if the user Shifts at least 3 meters, they gain a +3 Bonus to Critical Hit Range until the beginning of their next turn. If they do not Shift or Disengage at all, they gain +5 Damage Reduction until the beginning of their next turn.",feb2016,12,False
landslide,Landslide,Static,,,The user gains Last Chance with Ground.,core,322,False
last-chance,Last Chance,Static,,,The user gains Last Chance with Normal.,core,322,False
last-chance-type,Last Chance (Type),Static,,Your Pokémon with at least 1 Tutor Point.,"Last Chance Abilities are always associated with an Elemental Type. The user gains a +5 bonus to Damage Rolls when using attacks of that Type. This bonus increases to +10 when the user is under 1/3rd of their Maximum Hit Points. Electric: Focus or Technology Education Fighting: Combat or Intuition Fairy: Charm or Guile Grass: Survival or General Education Ground: Perception or Intuition Ice: Athletics or Survival Rock: Combat or Survival Steel: Athletics or Intimidate Water: Athletics or Intuition Move Sync [Branch] Prerequisites: 3 Type Ace Features At-Will - Extended Action The target loses 1 Tutor Point. Pick a Move in the target's Move List. The picked move is now permanently of your Chosen Type, and may have different effects. See the Types Changes section (page 468) for more information and suggestions. A Pokémon may have only one Move-Sync'd Move in their Move List at a time; to Sync a new Move, the old Move must be forgotten.",core,119,False
leaf-gift,Leaf Gift,Daily - Extended Action,,,"The user is adept at crafting clothes for itself out of common leaves. As an extended action, the user may craft a Leaf Suit listed below by activating this Ability; each suit has different effects on the user. The user may only wear one Leaf Suit at a time; building a new suit destroys previous suits. Nourishing Suit - Effect: Grants the Sun Blanket and Leaf Guard Abilities. Heavy Suit - Effect: Grants the Sturdy and Overcoat Abilities. Vibrant Suit - Effect: Grants the Chlorophyll and Photosynthesis Abilities.",core,322,False
leaf-guard,Leaf Guard,Scene - Swift Action,,,The user is cured of one Status Affliction. Leaf Guard's Frequency is ignored if used during Sunny Weather.,feb2016,6,False
leaf-rush,Leaf Rush,"Scene x2 - Free Action, Priority",,,"The user may activate Leaf Rush to use a Grass-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll.",feb2016,12,False
leafy-cloak,Leafy Cloak,Static,,,"Whenever the user activates Designer, theychoose two of Chlorophyll, Leaf Guard, or Overcoat. Until the user activates Designer again, they gain the chosen Abilities.",feb2016,12,False
leek-mastery,Leek Mastery,Static,,,"Connection - Acrobatics. If the user is holding a Rare Leek, they may still use Acrobatics as if they were not holding an item. The user cannot be disarmed of their Stick, nor can be it be forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it.",core,322,False
levitate,Levitate,Static,,,"The Pokémon is immune to the damage and effects of Ground Type Moves, and gains a Levitate Speed of 4, or has existing Levitate Speeds increased by +2. Defensive.",core,322,False
life-force,Life Force,Daily x3 - Swift Action,,,The user gains two Ticks of Hit Points.,edit,56,False
light-metal,Light Metal,Static,,,"The user's Weight Class is decreased by 2. Their Speed Base Stat is increased by +2, but their Defense Base Stat is decreased by 2.",feb2016,6,False
lightning-kicks,Lightning Kicks,Scene - Free Action,,,"The user may activate this Ability to use any Move with ""Kick"" in the name as a Priority Move, and gain a +4 Bonus to the attack's Accuracy Roll.",feb2016,6,False
lightning-rod,Lightning Rod,Scene - Free Action,A ranged Electric Type Move is used within 10 Meters of the user.,,"The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. The user's Special Attack is then raised by +1 Combat Stage.",feb2016,6,False
limber,Limber,Static,,,The user is immune to Paralysis. Defensive.,core,322,False
line-charge,Line Charge,Static,,,"The user can only shift in cardinal directions on the grid. However, they do not provoke attacks of opportunity from Shifting.",feb2016,12,False
liquid-ooze,Liquid Ooze,Static,,,"This user resists Poison-Type Damage one step further. Additionally, when this user is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, or Mega Drain, that Move gains Recoil ½ and the Move's user does not gain any HP. If the user is hit by Leech Seed, the user does not lose Hit Points from Leech Seed; instead Leech Seed's user loses Hit Points equal to this user's Tick Value.",feb2016,6,False
liquid-voice,Liquid Voice,At-Will - Free Action,The user uses a Move with the Sonic keyword,,"The triggering move loses the Sonic keyword, but gains the Friendly keyword and becomes Water Typed. If the Move was a Status Class Move, you may treat it as a Special Move with DB1.",sumo,3,False
long-reach,Long Reach,Static,,,"The user may use damaging attacks as if they had a range of ""8, 1 Target"" instead of their usual range.",sumo,3,False
lullaby,Lullaby,Scene - Free Action,,,"Connection - Sing. Whenever the user uses the Move ""Sing"", they may activate this Feature. The user then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target.",core,323,False
lunchbox,Lunchbox,Scene - Free Action,The user trades in a Food Buff,,The user gains a Tick of Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Food Buff.,feb2016,6,False
mach-speed,Mach Speed,Static,,,The user gains Last Chance with Flying.,core,323,False
maelstrom-pulse,Maelstrom Pulse,"Scene x2 - Free Action, Priority",,,"The user may activate Maelstrom Pulse to use a Water-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll.",feb2016,13,False
magic-bounce,Magic Bounce,Scene - Free Action,The user is hit by a Status Move,,The user may reflect the Move back to the attacker. This Ability may be used to change the placement and affiliation of any Hazards being set within 10 meters of the user as well. Defensive.,core,323,False
magic-guard,Magic Guard,Static,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive.",core,323,False
magician,Magician,Scene - Free Action,The user hits a foe with a damaging Single- Target attack,,The user takes the target's Held Item. This Ability may not be triggered if the user is already holding a Held Item.,core,323,False
magma-armor,Magma Armor,Static,,,"Whenever a foe hits you with a Melee Attack or ends their turn grappling you, they lose a tick of Hit Points. Foes immune to Burn do not suffer this effect.",feb2016,6,False
magnet-pull,Magnet Pull,Scene x3 - Swift Action,,A Steel-Type Pokémon within 6 meters,"Pick Two Effects; - The target is pushed or pulled X meters directly away or towards the user. X is up to 6 meters minus the target's Weight Class. - Until the end of the user's next turn, the target may not move more then 6 meters away from the user . - Until the end of the user's next turn, the target may not move closer than 3 meters ot the user.",feb2016,7,False
marvel-scale,Marvel Scale,Static,,,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user's Defense by +2 Combat Stages. The Combat Stages return to normal if the user is cured of their status affliction.",core,323,False
mega-launcher,Mega Launcher,Static,,,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +3.",feb2016,7,False
memory-wipe,Memory Wipe,Scene - Special,,A foe within 10 meters,"If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched and Paralyzed. If used as an Extended Action that takes about 1 minute, it can erase up to 10 minutes that have occurred within the last 30 minutes from the target's memory.",feb2016,7,False
merciless,Merciless,Static,,,"If the user hits a poisoned target with a damaging attack, it automatically becomes a Critical Hit.",sumo,3,False
migraine,Migraine,Scene x2 - Free Action,The user hits with Confusion while at 50% Hit Points or less,,Connection - Confusion. Confusion automatically gives its target the Confusion Affliction and is a Critical Hit.,feb2016,7,False
mimicry,Mimicry,Scene - Free Action,,,"The user changes their Type to match the field. Pick one type from the following table. If two or more rows are relevant (such as because of Weather), pick one. Field/Weather Type Beach Ground or Water Cave Rock or Dark Desert Ground or Rock Forest Grass Fresh Water / Ocean Water Grassland Normal or Grass Marsh Water or Poison Mountain Rock or Ground Rainforest Grass or Poison Taiga Ice or Grass Tundra Ice Urban Normal or Steel Sunny Fire Rainy Water Hailing Ice Sandstorming Rock Your GM may provide additional options should they choose (for instance, an Ethereal Forest may provide Psychic and Fairy options.) Note: This table may be used for Camouflage, too.",new,2,False
mimitree,Mimitree,Static,,,"Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that Move with Mimic once more. When used this way, the user ignores Mimic's Frequency.",core,323,False
mind-mold,Mind Mold,Static,,,The user gains Last Chance with Psychic.,core,323,False
mini-noses,Mini-Noses,Daily - Standard Action,,,"The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the battlefield. These Mini-Noses have HP equal to the user's level but otherwise uses their user's stats. Each Mini- Nose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown Mini- Noses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from the user; if they are forced farther away, they will automatically Shift toward the user on the user's turn.",core,324,False
minus,Minus,"Scene x2 - Free Action, Reaction",A foe within 10m has Combat Stages lowered,,The target loses an additional Combat Stage in one stat lowered by the triggering effect.,new,4,False
miracle-mile,Miracle Mile,Static,,,The user gains Last Chance with Fairy.,core,324,False
mirror-armor,Mirror Armor,"At-Will - Free Action, Reaction","A foe's Move or Ability directly lowers the user's CS (including Effect Ranges, but not including things like Status)",,"The user's CS are instead not lowered, and the triggering foe's CS in the affected stats are instead lowered the same amount the user's would have been.",new,2,False
missile-launch,Missile Launch,Scene x2 - Standard Action,,,"Connection - Dragon Darts. The user places two Dreepy Tokens within 6m. The user may move all Dreepy Tokens it controls 4m as a Swift Action. A Dreepy Token can freely enter other creatures' squares as part of this movement, which destroys the token, and causes the creature to suffer an AC2 DB 5 Physical Dragon-Type attack as if from the user of Missile Launch. Dreepy Tokens may be targeted. They have the same evasions as the user, and any damage destroys them (including from Smite damage).",new,2,False
misty-surge,Misty Surge,Scene x3 - Swift Action,,,"The Field becomes Misty, as if affected by the Move Misty Terrain, for one full round.",sumo,3,False
mojo,Mojo,Static,,,Normal Types are not immune to the user's Ghost-Type Moves.,core,324,False
mold-breaker,Mold Breaker,Static,,,The user ignores the effect of enemies' Defensive Abilities.,core,324,False
moody,Moody,Static,,,"At the end of the user's turn, roll 1d6 to determine a Stat to be raised by +2 Combat Stages, then roll 1d6 to determine a Stat to be lowered by 1 Combat Stage. 1 is Attack, 2 is Defense, 3 is Special Attack, 4 is Special Defense, 5 is Speed, and 6 is Accuracy.",feb2016,7,False
motor-drive,Motor Drive,Static,,,"The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive.",core,324,False
mountain-peak,Mountain Peak,Static,,,The user gains Last Chance with Rock.,core,324,False
moxie,Moxie,Static,,,"Whenever the user's Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may only trigger Moxie once per Move, even if the Move causes multiple targets to faint.",core,324,False
mud-dweller,Mud Dweller,Static,,,The user resists Ground-Type and Water-Type attacks one step further.,core,324,False
mud-shield,Mud Shield,Scene - Swift Action,,,The user gains two ticks worth of Temporary Hit Points.,sumo,3,False
multiscale,Multiscale,Static,,,"While at full Hit Points, all damage taken is resisted one step further. Defensive.",feb2016,7,False
multitype,Multitype,At Will - Free Action,,,The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled.,core,324,False
mummy,Mummy,At-Will - Free Action,The user is hit by a Melee Attack,,Disable one of the user's Abilities for the rest of the Scene or until they are switched out.,feb2016,7,False
natural-cure,Natural Cure,Scene - Free Action,,,"Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of all Persistent Status Afflictions.",core,324,False
needles,Needles,Static,,,"Connection - Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points.",feb2016,13,False
neuroforce,Neuroforce,Static,,,"Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were increased by +10.",sumo,3,False
neutralizing-gas,Neutralizing Gas,Static,,,"Abilities may not be Triggered in a burst 1 around the user, and Defensive abilities do not function in that area (the user is unaffected by this). If the user uses Poison Gas, Smog, Clear Smog, or Strange Steam, targets hit by those Moves may not trigger Abilities or benefit from Defensive abilities for one full round.",new,2,False
nimble-strikes,Nimble Strikes,Static,,,The user adds half their Speed Stat to the Damage Rolls of their physical Normal-Type Moves.,feb2016,13,False
no-guard,No Guard,Static,,,The user gains a +3 bonus to all Attack Rolls; however all foes gain a +3 Bonus on Attack Rolls against the user.,feb2016,7,False
normalize,Normalize,Static,,,The user's attacks cannot deal Super-Effective or Resisted Damage; they instead resolve as if dealing Neutral Damage. The user also takes neutral damage from all attacks to which they are not immune. This does not affect Immunities.,feb2016,7,False
oblivious,Oblivious,Static,,,The user is immune to the Enraged and Infatuated conditions. Defensive.,core,325,False
odious-spray,Odious Spray,Static,,,"Connection - Poison Gas. The user may use Poison Gas as if it had a Range ""8, 1 Target"", an AC of 2, and Flinched its target when it hit.",feb2016,7,False
omen,Omen,Scene - Swift Action,,,Choose a Pokémon or Trainer within 5 meters. The target's Accuracy is lowered by 2.,core,325,False
overcharge,Overcharge,Static,,,The user gains Last Chance with Electric.,core,325,False
overcoat,Overcoat,Static,,,"The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that would normally cause it to take damage. Defensive.",core,325,False
overgrow,Overgrow,Static,,,The user gains Last Chance with Grass.,core,325,False
own-tempo,Own Tempo,Static,,,The user is immune to Confusion. Defensive.,core,325,False
pack-hunt,Pack Hunt,At-Will - Free Action,An adjacent foe is damaged by an ally's Melee Attack,,"The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses a Tick of Hit Points.",core,325,False
parental-bond,Parental Bond,Static,,,"Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this Ability, the Baby gains 10 Damage Reduction, and will leave its mother's pouch and may be commanded to take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction and +5 to Damage Rolls for the remainder of the Scene.",core,325,False
parry,Parry,Scene - Free Action,The user is hit by a Melee Attack,,The attack instead misses. Defensive.,core,325,False
pastel-veil,Pastel Veil,Static,,,The user and allies within 3 meters are immune to Poison. Defensive.,new,2,False
perception,Perception,Static,,,"The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves.",feb2016,7,False
perish-body,Perish Body,"Daily - Standard Action, Reaction",The user is hit with a Melee attack,,"The triggering creature and the user each receive a Perish Count of 3. At the beginning of each of the target's turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon's Hit Points to 0. A Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Body never causes Massive Damage. Defensive.",new,2,False
permafrost,Permafrost,Static,,,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive.",feb2016,7,False
phase-shift,Phase Shift,At-Will - Shift Action,,,"The user changes its Ghost-Typing to Dark-Type or vice versa. Has the Phasing Capability while Ghost-Type, and Mindlock while Dark-Type.",got,35,False
photosynthesis,Photosynthesis,Daily - Extended Action,,,"If the user is allowed to bask in normal sunlight for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",core,325,False
pickpocket,Pickpocket,Scene - Free Action,The user is hit by an opponent with a Melee Move,,"If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding.",core,326,False
pickup,Pickup,Daily - Extended Action,,,"You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup keyword to figure out what you find!",core,326,False
pixilate,Pixilate,At-Will - Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Fairy-Type.,core,326,False
plus,Plus,"Scene x2 - Free Action, Reaction",An ally within 10m has Combat Stages raised,,The target gains an additional Combat Stage in one stat raised by the triggering effect. Koffing Line Ability Updates: Koffing: Basic Ability 1: Levitate Adv Ability 1: Sticky Smoke Adv Ability 2: Aftermath Adv Ability 3: Stench High Ability: Neutralizing Gas Weezing: Basic Ability 1: Levitate Adv Ability 1: Sticky Smoke Adv Ability 2: Aftermath Adv Ability 3: Stench High Ability: Neutralizing Gas,new,4,False
poison-heal,Poison Heal,Daily - Free Action,The user becomes Poisoned,,"For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being Poisoned.",core,326,False
poison-point,Poison Point,Scene - Free Action,The user is hit by a Melee Move,,The attacking foe is Poisoned.,core,326,False
poison-touch,Poison Touch,Static,,,"The Pokémon's Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of Poisoning foes, Poison Touch increases the effect range by +2.",core,326,False
poltergeist,Poltergeist,Static,,,"Rotom gains an Ability depending on what Form it has taken. If Rotom is level 40 or higher, it also may use a Move based on its Forme as if it that Move was on their Move List. Ability Move Standard Rotom: Levitate None Heat Rotom: Flash Fire Overheat Wash Rotom: Water Absorb Hydro Pump Frost Rotom: Winter's Kiss Blizzard Fan Rotom: Windveiled Hurricane Mow Rotom: Sap Sipper Leaf Storm",feb2016,7,False
polycephaly,Polycephaly,Static,,,The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step further than they normally would be.,core,326,False
power-construct,Power Construct,Daily - Swift Action,,,"The user changes to Complete Forme until the end of the Scene, and gains Temporary Hit Points equal to half of the maximum hit points that Complete Forme would have. The user cannot gain Temporary Hit Points from other sources while in Complete Forme.",sumo,3,False
power-of-alchemy,Power of Alchemy,Scene - Free Action,,A Trainer or Pokémon within 10 meters,"The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted.",sumo,3,False
power-spot,Power Spot,Static,,,Allies within 2m of the user gain a +5 bonus to damage rolls.,new,3,False
prankster,Prankster,Static,,,The user may use Status Moves as Priority (Advanced).,core,326,False
pressure,Pressure,Scene - Swift Action,,,All foes within 3 meters become Suppressed.,edit,56,False
pride,Pride,Static,,,"While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user's Special Attack is raised 2 Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way.",core,326,False
prime-fury,Prime Fury,Scene - Swift Action,,,"The user becomes Enraged, and gains +1 Combat Stage in each of Attack and Special Attack.",feb2016,8,False
prism-armor,Prism Armor,Static,,,The user gains +5 Damage Reduction against Super Effective-Damage. Defensive.,sumo,3,False
probability-control,Probability Control,Scene - Free Action,,Any roll made by yourself or an ally.,"The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable Psychic residue.",core,326,False
propeller-tail,Propeller Tail,Scene - Swift Action,,,The user may make a Sprint Maneuver as a Free Action.,new,3,False
protean,Protean,At-Will - Swift Action,The user uses a Move,,"The user's Type changes to match the Type of the triggering Move. This Ability resolves before the Move is resolved (And thus you may apply STAB, and trigger other Features and Abilities appropriately).",core,327,False
psychic-surge,Psychic Surge,Scene x3 - Swift Action,,,"The Field becomes Weird, as if affected by the Move Psychic Terrain, for one full round.",sumo,4,False
pumpkingrab,Pumpkingrab,Scene - Standard Action,,,The user automatically Grapples an adjacent foe and gains dominance.,feb2016,8,False
punk-rock,Punk Rock,Static,,,The user gains +2 DB to moves that have the Sonic keyword.,new,3,False
pure-blooded,Pure Blooded,Static,,,The user gains Last Chance with Dragon.,core,327,False
pure-power,Pure Power,Static,,,"The Pokémon's base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features. Ability List: Q-U",core,327,False
