id,name,parent_class,section,tags,prerequisites_text,activation_text,effect_text,source_id,source_page,needs_review
cheer-brigade,Cheer Brigade,Cheerleader,Trainer Classes,[],Prerequisites: Cheerleader,At-Will - Extended Action,Your Pokémon loses 2 Tutor Points and gains the Friend Guard Ability.,core,93,False
cheerleader,Cheerleader,Cheerleader,Trainer Classes,"[""Class""]","Prerequisites: Inspired Training, Novice Charm",X AP - Free Action,"Choose Cheered, Excited, or Motivated. All allies affected by the triggering effect gain the chosen condition. This Feature costs 0 AP if the triggering effect affects only one ally, and costs 1 AP if it affects two or more.",core,93,False
gleeful-interference,Gleeful Interference,Cheerleader,Trainer Classes,[],"Prerequisites: Cheer Brigade, Adept Charm",1 AP - Free Action,The triggering foe gains a -2 penalty to Accuracy for one full Round.,core,93,False
go-fight-win,"Go, Fight, Win!",Cheerleader,Trainer Classes,"[""Orders""]","Prerequisites: Moment of Action, Expert Charm",At-Will - Standard Action + Swift Action,Choose and perform one of the cheers below. You may perform each Cheer only once per Scene.,core,93,False
inspirational-support,Inspirational Support,Cheerleader,Trainer Classes,[],"Prerequisites: Cheer Brigade, Adept Charm",Static,You may trigger Cheerleader as a Free Action when your Pokémon with Friend Guard activate an Ability or Status Move that affects only allies.,core,93,False
keep-fighting,Keep Fighting!,Cheerleader,Trainer Classes,[],"Prerequisites: 5 Cheerleader Features, Master Charm",Daily x2 - Free Action,"That Ally's Hit Point count is reduced to 1 instead, and then gains Temporary Hit Points equal to your Charm Rank doubled.",core,94,False
moment-of-action,Moment of Action,Cheerleader,Trainer Classes,"[""Orders""]",Prerequisites: Cheerleader,At-Will - Standard Action,Each target gains 1 Temporary Action Point. These Action Points disappear after one full Round.,core,93,False
accentuated-taste,Accentuated Taste,Chef,Trainer Classes,[],"Prerequisites: Chef, Adept Intuition",Static,"Whenever you create a Snack with a Chef Feature, you may assign it a Taste chosen from Salty, Sour, Spicy, Dry, and Sweet. Tasty Snacks must be assigned their corresponding Taste. Whenever a Pokémon trades in a Digestion Buff from a Snack with an assigned Taste they do not dislike, they gain the following bonuses:",core,131,False
bait-mixer,Bait Mixer,Chef,Trainer Classes,[],Prerequisites: Culinary Appreciation,,"You may create Bait. For $50 more, you may create Bait as Super Bait or Vile Bait instead. Super Bait works like regular Bait, but you may add your Intuition Rank to 1d20 Rolls made to attract Pokémon. Vile Bait works like regular Bait, but Pokémon that eat it are Poisoned.",core,132,False
chef,Chef,Chef,Trainer Classes,"[""Class""]","Prerequisites: Basic Cooking, Novice Intuition",At-Will - Extended Action,You may use any Chef Recipe for which you qualify.,core,131,False
complex-aftertaste,Complex Aftertaste,Chef,Trainer Classes,[],Prerequisites: Accentuated Taste,1 AP - Free Action,The target gains a Digestion Buff according to the Taste of the Snack granting the Buff. This Digestion Buff matches that of the corresponding basic Tasty Snack recipe.,core,131,False
culinary-appreciation,Culinary Appreciation,Chef,Trainer Classes,[],Prerequisites: Chef,At-Will - Extended Action,The target loses 2 Tutor Points and gains the Gluttony Ability.,core,131,False
dietician,Dietician,Chef,Trainer Classes,[],"Prerequisites: Chef, Expert Intuition",Static,Your Pokemon can benefit from a maximum of 7 Vitamins.,core,131,False
dumplings,Dumplings,Chef,Trainer Classes,[],"Prerequisites: 4 Chef Features, Master Intuition","At-Will - Extended Action Ingredient 1: Leftovers, Preserves, or a Snack made with Chef Ingredient 2: Leftovers or Preserves",You mix the two ingredients into one Snack that has the same effect as its ingredients. The two ingredients must be different items.,core,131,False
hearty-meal,Hearty Meal,Chef,Trainer Classes,[],Prerequisites: Hits the Spot,,"You create up to five Hearty Meals, which may be consumed by Trainers as an Extended Action. When consumed, that Trainer gains +2 to their Max AP until the end of their next extended rest. A Trainer may only be under the effect of one Hearty Meal at a time. Hearty Meals not consumed within 20 minutes of being created lose all flavor and all effect.",core,132,False
hits-the-spot,Hits the Spot,Chef,Trainer Classes,[],Prerequisites: Chef,1 AP - Free Action,"The target gains Temporary Hit Points equal to your Intuition Rank doubled. These Temporary Hit Points stack from any Temporary Hit Points granted by Accentuated Taste, the Digestion Buff or by the Lunchbox Ability.",core,131,False
leftovers,Leftovers,Chef,Trainer Classes,[],Prerequisites: Complex Aftertaste,,You create Leftovers.,core,132,False
meal-planner,Meal Planner,Chef,Trainer Classes,[],Prerequisites: Chef,,"You may create the following items, based on your Intuition Rank",core,132,False
preserves,Preserves,Chef,Trainer Classes,[],Prerequisites: Accentuated Taste,,"The user creates x2 Units of Preserves from the Berry, Herb, or Mushroom. Preserves have the same effect as the consumable from which they were made.",core,132,False
tasty-snacks,Tasty Snacks,Chef,Trainer Classes,[],Prerequisites: Chef,,"You create a Salty Surprise, Spicy Wrap, Sour Candy, Dry Wafer, Bitter Treat, or Sweet Confection.",core,132,False
vitamins,Vitamins,Chef,Trainer Classes,[],Prerequisites: Dietician,,"You create an HP Up, Protein, Iron, Calcium, Zinc, or Carbos for $2450, or Stat Suppressants for",core,132,False
archival-training,Archival Training,Chronicler,Trainer Classes,"[""Ranked 2""]",,All Rank Prerequisites: Chronicler Static,"Each Rank, you gain an Archive.",core,134,False
archive-tutor,Archive Tutor,Chronicler,Trainer Classes,[],"Prerequisites: Technique Archive, Expert Perception",Daily - Extended Action,"Select a Record in your Technique Archive that is of a Move that the target can learn by Level Up, TM or by Move Tutor. The target learns the Move and loses 2 Tutor Points. You can target someone else's Pokémon only once with Archive Tutor; you may target your own Pokémon any number of times with Archive Tutor, but they must still abide by any Move Pool Limitations (ie: no more than 3 of the user's Move Pool can come from TMs or Tutor Moves).",core,134,False
chronicler,Chronicler,Chronicler,Trainer Classes,"[""Class""]",Prerequisites: Novice Perception,"1 AP - Swift Action, Interrupt","You make Record of the target. Records can be placed in an Archive as an Extended Action. When you take Chronicler, you gain one Archive.",core,134,False
cinematic-analysis,Cinematic Analysis,Chronicler,Trainer Classes,[],"Prerequisites: 4 Chronicler Features, Master Perception",Daily x3 - Free Action,You analyze a Record in one of your Archives. Cinematic Analysis's effect depends on the Archive the Record is in. Each of these effects may only be used once per Scene.,core,135,False
observation-party,Observation Party,Chronicler,Trainer Classes,[],"Prerequisites: Travel Archive, Adept Perception",Static,"While they are in a Location in your Travel Archive, your Pokémon have the Ability you chose when gaining Travel Archive and gain a +2 bonus to Perception Checks to notice the environment.",core,134,False
targeted-profiling,Targeted Profiling,Chronicler,Trainer Classes,"[""Orders""]","Prerequisites: Profile Archive, Expert Perception",2 AP - Standard Action,"On the target's next turn, they act as if they had the Mold Breaker Ability against all Pokémon and Trainers in your Profile Archive and gains a +2 bonus to Accuracy Rolls against these targets.",core,134,False
battle-conductor,Battle Conductor,Commander,Trainer Classes,[],Prerequisites: Leadership,At-Will - Swift Action,You may target up to two additional Allies with the [Orders].,core,81,False
commander,Commander,Commander,Trainer Classes,"[""Class""]",Prerequisites: Novice Command,Static,"Choose one of Ravager Orders, Marksman Orders, Trickster Orders, Guardian Orders, or Precision Orders. You gain the chosen Feature, even if you do not meet its prerequisites.",core,81,False
complex-orders,Complex Orders,Commander,Trainer Classes,"[""Orders""]","Prerequisites: Mastermind, at least two Features with",the [Orders] Tag that have targets At-Will - Shift Action,You may choose a different Order to give to each Target. You must pay all AP costs and follow Frequency restrictions for all Orders used in this way.,core,81,False
leadership,Leadership,Commander,Trainer Classes,[],Prerequisites: Commander,Static,"You may use [Orders] that have targets to target any Ally, even if normally those [Orders] would only let you apply the effect to your own Pokemon. Any other conditions still apply.",core,81,False
mobilize,Mobilize,Commander,Trainer Classes,"[""Orders""]",Prerequisites: Commander,At-Will - Free Action,The target cannot provoke Attacks of Opportunity on their next turn. Mobilize may target an Ally only once per encounter.,core,81,False
scheme-twist,Scheme Twist,Commander,Trainer Classes,[],"Prerequisites: Commander, Master Command",Scene x2 - Swift Action,You may target up to two additional Allies with the [Orders].,core,81,False
tip-the-scales,Tip the Scales,Commander,Trainer Classes,[],"Prerequisites: Commander, Expert Command",2 AP - Swift Action,Your [Orders] with an At-Will Frequency instead target all allies within 10 Meters.,core,81,False
adaptable-performance,Adaptable Performance,Coordinator,Trainer Classes,[],Prerequisites: Coordinator,Scene - Free Action,"Choose two of your Pokémon's Moves. Your Pokémon may perform your Contest Move as if had the Contest Typing of one of your chosen Moves, and had the effects of the other. You may not use either move on the next round of the contest. This effect may be used once per Contest.",core,83,False
coordinator,Coordinator,Coordinator,Trainer Classes,"[""Class""]","Prerequisites: Grace, Novice Charm, Command, Guile, Intimidate, or Intuition",At-Will - Free Action,"Your Pokémon may reroll a single Appeal Roll or Damage Roll. This Ability may be used only once per Contest, and once per Pokémon per Scene.",core,83,False
decisive-director,Decisive Director,Coordinator,Trainer Classes,"[""Orders""]",Prerequisites: Coordinator,At-Will - Standard Action,Add or subtract X from the target's Initiative until the end of your next turn. X is equal to your Charm Rank doubled.,core,83,False
flexible-preparations,Flexible Preparations,Coordinator,Trainer Classes,[],"Prerequisites: Adaptable Performance, Adept Charm,","Command, Guile, Intimidate, or Intuition Daily - Extended Action",The target may reallocate up to 2d6 of Poffin- Derived Contest Stats from one Contest Stat to another. This effect lasts until the end of the day.,core,83,False
innovation,Innovation,Coordinator,Trainer Classes,[],Prerequisites: Adaptable Performance,Daily - Extended Action,"The target loses 1 Tutor Point, and then learns a Move created with Innovation. See the next section for details on creating Moves for this Feature. A Pokémon may only have one Move created by Innovation at a time.",core,83,False
nuanced-performance,Nuanced Performance,Coordinator,Trainer Classes,[],"Prerequisites: Coordinator, Expert Charm, Command,","Guile, Intimidate, or Intuition 1 AP - Free Action","That Move's Frequency is not expended. This does not work with Moves that may fail to activate, such as moves with the Execute keyword.",core,83,False
reliable-performance,Reliable Performance,Coordinator,Trainer Classes,[],"Prerequisites: Nuanced Performance, Master Charm,","Command, Guile, Intimidate, or Intuition 2 AP - Free Action","For appeal rolls, instead of making the Appeal Roll, you gain 1 Appeal Point for each Dice you would have rolled. For Accuracy Checks, act as if you had rolled a 10. For Skill Checks, multiply 3.5 by your Pokémon's Skill Rank, and use the resulting number as the result of your roll, rounded down. For all rolls, add or subtract any modifiers as normal.",core,83,False
choreographer,Choreographer,Dancer,Trainer Classes,"[""+Speed""]","Prerequisites: Dance Form; Adept Acrobatics, Athletics,",or Charm At-Will - Extended Action,The target loses 2 Tutor Point and learns a Dance Move created by yourself. Choreographer may target a Pokémon multiple times.,core,157,False
dance-form,Dance Form,Dancer,Trainer Classes,"[""+Speed""]",Prerequisites: Dancer | Prerequisites: Dance Form,Static,"Create and learn two Dance Moves, plus one more for each other Dancer Feature you have. Whenever you gain another Dancer Feature, create and learn another Dance Move. Beguiling Dance [+Speed] Static When creating Dance Moves, you can choose to create a Dance Move that has Range: 4, 1 Target, AC 3, and lowers a Combat Stat (chosen at creation) by -2 Combat Stages. This Move is otherwise the same as other Dance Moves you could create except that Dance Moves created with this template have the Contest Effect Excitement instead of Get Ready!.",core,157,False
dance-practice,Dance Practice,Dancer,Trainer Classes,"[""+Speed""]",Prerequisites: Dancer,At-Will - Extended Action,The target loses 2 Tutor Points and gains your choice of Spinning Dance or Own Tempo. Dance Practice may target a Pokémon only once.,core,157,False
dancer,Dancer,Dancer,Trainer Classes,"[""Class"", ""+Speed""]",Prerequisites: Novice Acrobatics; Novice Athletics or Charm,Static,Choose Spinning Dance or Own Tempo. You gain the chosen Ability.,core,157,False
passing-waltz,Passing Waltz,Dancer,Trainer Classes,"[""+Speed""]","Prerequisites: Dance Practice; Master Acrobatics, Ath-","letics, or Charm 1 AP - Free Action",Choose an ally within 3 meters of the triggering target. That ally gains Combat Stages from the triggering Move instead of the user.,core,157,False
power-pirouette,Power Pirouette,Dancer,Trainer Classes,"[""+Speed""]","Prerequisites: Dance Form; Expert Acrobatics, Athlet-","ics, or Charm Scene x2 - Swift Action",Choose one effect:,core,157,False
directed-focus,Directed Focus,Duelist,Trainer Classes,[],Prerequisites: Effective Methods,Static,"Whenever your Pokémon with the Exploit or Tolerance Ability are targeted by an [Order], deal Super- Effective Damage, or take Super-Effective Damage, they gain +1 Momentum after all effects of the Move or Order are resolved.",core,96,False
duelist,Duelist,Duelist,Trainer Classes,"[""Class""]","Prerequisites: Focused Training, Novice Focus",At-Will - Swift Action,"The Foe becomes Tagged; or if the foe is already Tagged, the foe loses the Tag. Only one foe can be Tagged this way at a time. If a new Foe is Tagged, all other Tags are lost.",core,96,False
duelists-manual,Duelist's Manual,Duelist,Trainer Classes,"[""Orders""]","Prerequisites: Expend Momentum, Effective Methods,",Expert Focus 2 AP - Standard Action,"Apply one of the following effects. To choose an effect, your Pokémon must have a certain amount of Momentum. (Duelist's Manual does not spend Momentum).",core,97,False
effective-methods,Effective Methods,Duelist,Trainer Classes,[],Prerequisites: Duelist,At-Will - Extended Action,Your Pokémon loses 2 Tutor Points and gains your choice of the Exploit or Tolerance Ability. You may only target a Pokémon once with Effective Methods.,core,96,False
expend-momentum,Expend Momentum,Duelist,Trainer Classes,"[""Orders""]",Prerequisites: Duelist,At-Will - Standard Action,Apply one of the following effects on the target by spending that much Momentum.,core,96,False
seize-the-moment,Seize The Moment,Duelist,Trainer Classes,[],"Prerequisites: Duelist, Master Focus",Scene x2 - Free Action,"Your Pokémon loses 6 Momentum, and then gains +1 Momentum. Your Pokémon may immediately make an attack as an Interrupt, but this attack must target only a Tagged Foe. If the attack misses, it still deals damage as if it had the Smite keyword. If the attack hits, it's automatically a Critical Hit. If it would have already been a Critical Hit, your Pokémon gains Hit Points equal to half of its maximum Hit Points. May be used only once per Scene per Pokémon .",core,97,False
type-methodology,Type Methodology,Duelist,Trainer Classes,[],"Prerequisites: Effective Methods, Adept Focus",Scene x2 - Free Action,Effects depend on whether your Pokémon has the Tolerance or Exploit ability.,core,96,False
awareness,Awareness,Enduring Soul,Trainer Classes,[],"Prerequisites: Enduring Soul, 3 Pokémon with a",Defensive Ability* Static,Your Pokémon add +2 to all Save Checks.,core,99,False
enduring-soul,Enduring Soul,Enduring Soul,Trainer Classes,"[""Class""]",Prerequisites: Novice Athletics and Focus,Static,"You may add to your Pokémon's HP stat when they level up, ignoring Base Relation, and you do not need to ""correct"" Stats due to this inflated HP.",core,99,False
not-yet,Not Yet!,Enduring Soul,Trainer Classes,[],"Prerequisites: Enduring Soul, Expert Athletics or Focus",Scene - Free Action,"Before fainting, the targeted Pokémon gains an Injury, and may then use a Move as an Interrupt. When the Move is resolved, the Pokémon then immediately faints. This consumes a Pokémon turn as normal. This cannot be used with the Moves Explosion, Pain Split, or Self-Destruct.",core,99,False
resilience,Resilience,Enduring Soul,Trainer Classes,[],"Prerequisites: Awareness, Expert Athletics or Focus",2 AP - Free Action,"Your Pokémon does not gain a Status Affliction, and the triggering attack does damage as if it was not a Critical Hit. Resilience may only be used once per target per Scene.",core,99,False
shrug-off,Shrug Off,Enduring Soul,Trainer Classes,[],Prerequisites: Staying Power,Static,"Once per day, each of your Pokémon may spend a Shift Action to remove 1 Injury from themselves; this may also be activated as a Free Action whenever your Pokémon Take a Breather.",core,99,False
staying-power,Staying Power,Enduring Soul,Trainer Classes,[],Prerequisites: Enduring Soul,Scene - Free Action,"Your Pokémon may ""Take a Breather"" even if it is Confused or Enraged, and it does not Trip or have to Shift away from enemies as part of the action. You may choose whether or not your Pokémon resets their Combat Stages to default.",core,99,False
vim-and-vigor,Vim and Vigor,Enduring Soul,Trainer Classes,[],"Prerequisites: Shrug Off, Master Athletics or Focus",At-Will - Extended Action,"The target loses 2 Tutor Points, and gains the Vigor Ability.",core,99,False
accessorize,Accessorize,Fashionista,Trainer Classes,[],"Prerequisites: Dashing Makeover, one Fashionista Skill",at Adept Static,"You may wear and benefit from two Accessory Slot Items at once. The two items must be of different types and must not share an effect. For example, a Fire Brace cannot be paired with another Fire Brace or a Fire Plate, but it could be paired with an Ice Brace, a Fire Booster, or a Stat Booster.",core,137,False
basic-fashion,Basic Fashion,Fashionista,Trainer Classes,[],Prerequisites: Fashionista,,You create one of the Basic Fashion Items below for which you have the chosen Fashionista Skill. These are Accessory Slot Items and may be used as Held Items by Pokémon.,core,138,False
contest-trends,Contest Trends,Fashionista,Trainer Classes,[],Prerequisites: Fashionista,,"You can create Contest Accessories for $750, Contest Fashion Items for $500, and Fancy Clothes for",core,138,False
dashing-makeover,Dashing Makeover,Fashionista,Trainer Classes,[],Prerequisites: Fashionista,Bind 2 AP - Extended Action,"When you activate Dashing Makeover, choose one Equipment or Held Item you can create. While this Feature is Bound, the target gains the effects of the chosen item, as long as they would normally be able to equip it (ex: Trainers cannot equip Incense Items).They do not need to take up an Equipment or Held Item slot to gain this benefit. A target may only be affected by one instance of Dashing Makeover at a time.",core,137,False
dress-to-impress,Dress to Impress,Fashionista,Trainer Classes,"[""Orders""]","Prerequisites: Versatile Wardrobe, two Fashionista",Skills at Expert Scene x2 - Standard Action,Your Pokémon gains the effect of all items in extra slots granted by Versatile Wardrobe for one full round. Dress to Impress may only target a Pokémon once per Scene.,core,137,False
fashionista,Fashionista,Fashionista,Trainer Classes,"[""Class""]","Prerequisites: Two of Charm, Command, Guile, Intimidate, or Intuition at Novice",At-Will - Extended Action,You may craft any Fashionista Recipe for which you qualify.,core,137,False
focused-fashion,Focused Fashion,Fashionista,Trainer Classes,[],Prerequisites: Style is Eternal,,You can create Focus Bands and Focus Sashes for $2000.,core,138,False
incense-maker,Incense Maker,Fashionista,Trainer Classes,[],Prerequisites: Parfumier,,"You can create Lax Incense for $1000, Luck Incense for $900, and Full Incense for $450.",core,138,False
parfumier,Parfumier,Fashionista,Trainer Classes,[],"Prerequisites: Fashionista, one Fashionista Skill at",Expert Static,"Whenever you create an Incense Held Item, choose Sweet Scent or Aromatic Mist. While your Pokémon is holding that Incense Item in an active Held Item slot, they add the chosen Move to their Move List.",core,137,False
practical-fashion,Practical Fashion,Fashionista,Trainer Classes,[],Prerequisites: Dashing Makeover,,"You can create Go-Goggles, Safety Goggles, or Winter Cloaks for $750.",core,138,False
style-is-eternal,Style is Eternal,Fashionista,Trainer Classes,[],Prerequisites: Fashionista,1 AP - Free Action,Your Pokémon instead retains their Held Item. Style is Eternal may only be used once per Scene per Pokémon.,core,137,False
versatile-wardrobe,Versatile Wardrobe,Fashionista,Trainer Classes,[],"Prerequisites: Fashionista, two Fashionista Skills at",Adept At-Will - Extended Action,"The target loses 2 Tutor Points and then becomes chic. Chic Pokémon gain two extra Held Item slots with which they can carry Held Items. However, the items in these slots have no effect and are not treated as equipped. As a Swift Action on their turn, Chic Pokémon may swap a currently active Held Item with an item stored in these slots. Chic Pokémon may not carry multiple items of the same type or with repeated effects.",core,137,False
diffuse-pain,Diffuse Pain,Hex Maniac,Trainer Classes,"[""+HP""]",Prerequisites: Hex Maniac Studies Rank 1,2 AP - Swift Action,Choose an additional target for the Move.,core,182,False
grand-hex,Grand Hex,Hex Maniac,Trainer Classes,"[""+HP""]","Prerequisites: Hex Maniac Studies Rank 3, Master",Occult Education 1 AP - Swift Action,"Regain one use of a Move gained from Hex Maniac Studies that can inflict a Status Affliction that the triggering target has. If you activated the conditional damage boost for Hex, its Frequency is not expended. You may only activate Grand Hex once per target per Scene.",core,182,False
hex-maniac,Hex Maniac,Hex Maniac,Trainer Classes,"[""Class"", ""+HP""]",Prerequisites: Novice Occult Education,Static,Choose Cursed Body or Omen. You gain the Chosen Ability.,core,182,False
hex-maniac-studies,Hex Maniac Studies,Hex Maniac,Trainer Classes,"[""+HP"", ""Ranked 3""]","Rank 1 Prerequisites: Hex Maniac | Rank 2 Prerequisites: Hex Maniac | Rank 3 Prerequisites: Hex Maniac, Expert Occult",Education Static,Learn two Hex Maniac Moves. You may choose any Move marked with the Hex Maniac Studies Rank you are taking or lower.,core,182,False
malediction,Malediction,Hex Maniac,Trainer Classes,"[""+HP""]","Prerequisites: Hex Maniac Studies Rank 1, Expert",Occult Education Scene x2 - Free Action,"Use a Status-Class Move gained from Hex Maniac Studies targeting the triggering foe as a Free Action, Frequency-permitting.",core,182,False
dabbler,Dabbler,Hobbyist,Trainer Classes,[],"Prerequisites: Hobbyist, Expert General Education or",Perception Static,"At the Level 5, 10, 20, 30, and 40 Character Advancement Level Milestones, if you choose to gain Bonus Stats, you also gain an Edge for which you qualify. If you choose Bonus Edges or Features, you also gain +2 to your choice of Attack or Special Attack. This applies retroactively.",core,86,False
dilettante,Dilettante,Hobbyist,Trainer Classes,"[""Ranked 4""]",,All Ranks Prerequisites: Hobbyist Static,"Each Rank of Dilettante, you gain both an Edge and a General Feature from the lists below. You may gain the chosen Edge and Feature even if you do not meet the Skill prerequisites. You must meet any other Prerequisites.",core,86,False
hobbyist,Hobbyist,Hobbyist,Trainer Classes,"[""Class""]","Prerequisites: Novice General Education, Novice Perception",Static,You gain three Skill Edges for which you qualify.,core,86,False
look-and-learn,Look and Learn,Hobbyist,Trainer Classes,[],"Prerequisites: Hobbyist, Expert General Education or",Perception x2 Uses - Extended Action,"When you activate Look and Learn, you may gain any of the Features below even though they are Features from other Classes. You do not need to meet their normal prerequisites, but you must meet their Prerequisites listed here. Look and Learn can be used two times; once to learn a Feature from the ""Scene Features"" List, and once to learn a Feature from the ""Action Point Features List"".",core,86,False
dont-look-away,Don't Look Away,Hunter,Trainer Classes,"[""+Speed""]","Prerequisites: Pack Tactics, Adept Stealth, Adept",Survival 1 AP - Free Action,"The hit foe loses a Tick of Hit Points, and is Slowed for 1 round. Don't Look Away may be triggered once per round.",core,159,False
finisher,Finisher,Hunter,Trainer Classes,"[""+Speed""]","Prerequisites: Hunter, Adept Stealth, Adept Survival",Static,"You and your Pokémon gain a +5 bonus to Damage Rolls against Fainted, Flinched, Sleeping, Stuck, Slowed, Trapped, or Tripped targets.",core,159,False
hunter,Hunter,Hunter,Trainer Classes,"[""Class"", ""+Speed""]","Prerequisites: Novice Survial, Novice Stealth",Static,Choose Teamwork or Pack Hunt. You gain the Chosen Ability.,core,159,False
hunters-reflexes,Hunter's Reflexes,Hunter,Trainer Classes,"[""+Speed""]","Prerequisites: Hunter, Adept Stealth or Survival",Static,"You and your Pokémon may make up to three Attacks of Opportunity each round, instead of only one. Additionally, your attacks always consider you to be adjacent to your target for the purposes of benefiting from your Pokémon's Teamwork Ability, and count as Melee attacks for the purposes of triggering their Pack Hunt Ability.",core,159,False
pack-master,Pack Master,Hunter,Trainer Classes,"[""+Speed""]","Prerequisites: Pack Tactics, Expert Stealth, Expert",Survival Static,"For you and your Pokémon with Teamwork, Teamwork's effect now reads ""While you are adjacent to an opponent, allies targeting that opponent receive a +2 bonus to Accuracy Checks"". Whenever you or your Pokémon successfully hit a foe with Pack Hunt, they gain a +2 Bonus to Accuracy Rolls and a +5 Bonus to Damage Rolls against that foe until the end of their next turn.",core,159,False
pack-tactics,Pack Tactics,Hunter,Trainer Classes,"[""+Speed""]",Prerequisites: Hunter,At-Will - Extended Action,"The target loses 2 Tutor Points, and gains the Pack Hunt or Teamwork Ability. You may target a Pokémon with Pack Tactics only once.",core,159,False
surprise,Surprise!,Hunter,Trainer Classes,"[""+Speed""]","Prerequisites: Hunter, Adept Stealth or Survival",X AP - Swift Action,"Make two attack rolls for the triggering action, and use the better result to finalize the attack. If both attacks would hit, the target is Flinched. Surprise! may be used only once per Scene per target. If the triggering attack was a Poké Ball, Hand Net, Weighted Net, Glue Cannon, or Struggle Attack, Surprise! costs 1 AP to activate; otherwise, it costs 2 AP.",core,159,False
bounce-shot,Bounce Shot,Juggler,Trainer Classes,"[""+Speed""]",Prerequisites: Juggler,At-Will - Free Action,"After hitting its mark or landing, your Poké Ball bounces 3 meters in any direction. You may have your Poké Ball trigger captures or releases before or after the bounce.",core,101,False
emergency-release,Emergency Release,Juggler,Trainer Classes,"[""+Speed""]","Prerequisites: Juggler, Expert Acrobatics or Guile","2 AP - Shift Action, Interrupt",You may Release a Pokémon as an Interrupt.,core,101,False
first-blood,First Blood,Juggler,Trainer Classes,"[""+Speed""]","Prerequisites: Tag In, Master Acrobatics or Guile",Scene - Free Action,"If you have a Pokémon turn available this round or next, your Pokémon may use a Move as an Interrupt as soon as it is sent out. This consumes your Pokémon turn for the round (or the following round) as normal.",core,101,False
juggler,Juggler,Juggler,Trainer Classes,"[""Class"", ""+Speed""]","Prerequisites: Quick Switch, Novice Acrobatics, Novice Guile",Static,"Using Quick Switch costs only 1 AP. Whenever you send a Pokémon into an encounter from a Poké Ball, they receive a +10 bonus to their Initiative during that round.",core,101,False
juggling-show,Juggling Show,Juggler,Trainer Classes,"[""+Speed""]",Prerequisites: Juggler,Static,"You may roll an additional Xd6 during the In- troduction Stage of a Contest, where X is half of your Acrobatics Rank. You may choose any Contest Stat to attempt to gain Dice for with this roll.",core,101,False
round-trip,Round Trip,Juggler,Trainer Classes,"[""+Speed""]","Prerequisites: Juggler, Adept Acrobatics or Guile",1 AP - Free Action,You may immediately switch your Pokémon that just performed a Move for another of your Pokémon. This effect lets Pokémon with the Trapped condition switch out.,core,101,False
tag-in,Tag In,Juggler,Trainer Classes,"[""+Speed""]","Prerequisites: Round Trip, Expert Acrobatics or Guile",1 AP - Free Action,The next Pokémon you send out is treated as if the recalled Pokémon had used Baton Pass on it.,core,101,False
bend-like-the-willow,Bend Like the Willow,Martial Artist,Trainer Classes,[],Prerequisites: Limber Ability,"2 AP - Free Action, Interrupt",You may attempt the same Combat Maneuver against the triggering foe as a Free Action.,core,162,False
heightened-intensity,Heightened Intensity,Martial Artist,Trainer Classes,[],Prerequisites: Inner Focus Ability,2 AP - Shift Action,You may use Focus Energy as a Free Action,core,162,False
martial-achievement,Martial Achievement,Martial Artist,Trainer Classes,[],Prerequisites: Martial Artist,Static,You gain a Martial Achievement based on your Chosen Ability.,core,162,False
martial-artist,Martial Artist,Martial Artist,Trainer Classes,"[""Class""]","Prerequisites: Basic Martial Arts, Novice Combat",Static,"Choose one of the abilities listed below. You gain the chosen Ability, and its associated tags. Whenever you gain any Martial Artist Feature, you also gain the associated tags.",core,161,False
martial-training,Martial Training,Martial Artist,Trainer Classes,"[""Ranked 3""]","Rank 1 Prerequisites: Martial Artist | Rank 2 Prerequisites: Martial Artist, Expert Combat | Rank 3 Prerequisites: Martial Artist, Master Combat",Static,Learn two Martial Artist Moves. You may choose any Move marked with the Martial Training Rank you are taking or lower. You must meet a Move's Prerequisites to choose that Move.,core,161,False
my-kung-fu-is-stronger,My Kung-Fu is Stronger,Martial Artist,Trainer Classes,[],Prerequisites: Martial Training Rank 1,At-Will - Free Action,"You may use Rock Smash instead of an unarmed Struggle Attack. If you do, Rock Smash's Effect Range is increased by +2.",core,162,False
pummeling-momentum,Pummeling Momentum,Martial Artist,Trainer Classes,[],Prerequisites: Iron Fist Ability,1 AP - Free Action,"You Tag the triggering foe and gain a +1 bonus to your Accuracy Rolls and Evasion against that foe. Each subsequent time that you hit the Tagged foe with a Move affected by Iron Fist, this bonus increases by +1, to a maximum of your Combat Rank. If you ever spend a turn without successfully hitting your Tagged foe, the foe loses their Tag and the bonus is lost.",core,162,False
second-strike,Second Strike,Martial Artist,Trainer Classes,[],Prerequisites: Martial Artist,At-Will - Free Action,You may immediately use Rock Smash or a Struggle Attack against your target as a Free Action.,core,162,False
soft-landing,Soft Landing,Martial Artist,Trainer Classes,[],Prerequisites: Reckless Ability,1 AP - Free Action,"When taking fall damage, calculate the result as if you had fallen X meters less, where X is half your Combat Rank. If you miss with Jump Kick or High Jump Kick, you lose no Hit Points as a result.",core,162,False
whirlwind-strikes,Whirlwind Strikes,Martial Artist,Trainer Classes,[],Prerequisites: Technician,1 AP - Full Action,"You may use Rock Smash, targeting against any number of adjacent foes. You do not count as Flanked for one full round.",core,162,False
wrestlemania,Wrestlemania,Martial Artist,Trainer Classes,[],Prerequisites: Guts Ability,1 AP - Swift Action,"This turn, you may perform two different Grappling Effects as a Full Action instead of just one.",core,162,False
